Population,Categorized Job Title,Take Home Income
562599.0,Data Scientist,36450.886
956122.3107947805,Data Scientist,49234.0
116674.0,Data Scientist,46734.0
61929.0,Data Scientist,38234.0
8467513.0,Data Scientist,65519.52
1288457.0,Data Scientist,57307.99
576498.0,Data Scientist,32555.379999999997
983489.0,Data Scientist,47608.48999999999
210606.0,Data Scientist,23767.182
210606.0,Data Scientist,24035.044
121465.0,Data Scientist,23767.182
121465.0,Data Scientist,24035.044
8467513.0,Data Scientist,91019.51999999999
983489.0,Data Scientist,97108.48999999999
956122.3107947805,Data Scientist,46734.0
288253.0,Data Scientist,100734.0
733919.0,Data Analyst,17820.564
117090.0,Data Scientist,75234.0
307220.0,Data Engineer,107734.0
50383.0,Data Engineer,107734.0
117090.0,Data Scientist,63734.0
81516.0,Data Scientist,115234.0
815201.0,Data Scientist,74156.924
711463.0,Data Scientist,44603.814
733919.0,Data Scientist,57820.564
1288457.0,Data Scientist,58307.99
2696555.0,Data Scientist,74195.734
956122.3107947805,Data Scientist,48948.344000000005
956122.3107947805,Data Scientist,104734.0
117090.0,Data Scientist,48234.0
106633.0,Data Scientist,61234.0
205918.0,Data Analyst,4182.887999999999
956122.3107947805,Data Scientist,45734.0
116674.0,Data Scientist,46734.0
61929.0,Data Scientist,38234.0
632464.0,Data Scientist,60336.087999999996
117090.0,Data Scientist,76234.0
152258.0,Data Scientist,82734.0
956122.3107947805,Data Scientist,74234.0
983489.0,Data Analyst,39608.48999999999
73288.0,Data Scientist,68734.0
956122.3107947805,Data Scientist,71734.0
227514.0,Data Scientist,109234.0
456062.0,Data Engineer,67734.0
815201.0,Data Analyst,19656.924
956122.3107947805,Data Engineer,60234.0
815201.0,Data Scientist,74156.924
956122.3107947805,Data Scientist,44234.0
2696555.0,Data Scientist,91695.734
670050.0,Data Scientist,109042.53400000001
149440.0,Data Scientist,146234.0
63737.0,Data Scientist,146234.0
100758.0,Data Analyst,-8766.0
956122.3107947805,Data Scientist,48234.0
194917.0,Data Scientist,47823.378
111666.0,Data Scientist,47823.378
181668.0,Data Scientist,52734.0
654776.0,Data Scientist,63759.28400000001
216963.0,Data Analyst,33063.142
216963.0,Data Analyst,33101.407999999996
956122.3107947805,Data Scientist,76734.0
1381611.0,Data Scientist,57381.708000000006
562599.0,Data Scientist,39950.886
815201.0,Data Scientist,86156.924
956122.3107947805,Data Scientist,105234.0
576498.0,Data Scientist,32555.379999999997
1288457.0,Data Scientist,57307.99
308935.0,Data Scientist,71642.216
8467513.0,Data Scientist,66019.51999999999
66680.0,Data Scientist,101234.0
61929.0,Data Scientist,28734.0
956122.3107947805,Data Scientist,46734.0
71265.0,Data Scientist,79734.0
496461.0,Data Scientist,41119.202000000005
654776.0,Data Scientist,5759.284000000007
1576251.0,Data Scientist,88932.956
192169.0,Data Scientist,59234.0
956122.3107947805,Other,31984.068
85742.0,Other,141234.0
956122.3107947805,Data Scientist,37734.0
956122.3107947805,Data Scientist,72930.414
300431.0,Data Scientist,62374.354
192169.0,Data Scientist,89734.0
81516.0,Data Scientist,112234.0
117090.0,Data Scientist,49234.0
956122.3107947805,Data Scientist,71734.0
983489.0,Data Scientist,47108.48999999999
815201.0,Data Scientist,55656.924
50135.0,Data Analyst,19841.172
956122.3107947805,Data Scientist,97129.506
2696555.0,Data Analyst,39195.734000000004
392786.0,Data Engineer,48734.0
219205.0,Data Analyst,15234.0
288253.0,Data Scientist,100734.0
983489.0,Data Scientist,47608.48999999999
439890.0,Data Scientist,43369.134
216963.0,Other,13063.142
216963.0,Other,13101.407999999996
376971.0,Data Analyst,12642.216
815201.0,Data Scientist,105656.924
496461.0,Data Scientist,46619.202000000005
956122.3107947805,Other,68234.0
956122.3107947805,Data Scientist,34234.0
956122.3107947805,Data Scientist,47234.0
956122.3107947805,Data Scientist,59234.0
956122.3107947805,Data Scientist,60734.0
569330.0,Data Analyst,20606.492000000006
956122.3107947805,Data Scientist,94734.0
8467513.0,Data Scientist,72019.51999999999
146103.0,Data Scientist,49109.034
2288250.0,Data Scientist,50841.172
670050.0,Data Scientist,191542.534
879709.0,Data Engineer,58037.585999999996
75898.0,Data Scientist,66234.0
956122.3107947805,Data Analyst,18234.0
1624569.0,Data Analyst,15088.562000000005
487300.0,Data Scientist,25950.886
815201.0,Data Scientist,88656.924
956122.3107947805,Data Engineer,39734.0
117090.0,Data Scientist,75234.0
8467513.0,Data Scientist,91019.51999999999
815201.0,Data Scientist,64156.924
815201.0,Data Engineer,39656.924
496461.0,Data Scientist,42119.202000000005
67139.0,Data Scientist,69234.0
425336.0,Data Engineer,54667.636
3849297.0,Data Scientist,65698.004
879709.0,Data Engineer,96537.586
117090.0,Data Scientist,62234.0
308935.0,Data Scientist,72142.216
670050.0,Data Engineer,76042.53400000001
2696555.0,Data Engineer,54195.734000000004
576498.0,Data Analyst,21055.379999999997
956122.3107947805,Data Scientist,1234.0
956122.3107947805,Data Scientist,69234.0
508394.0,Other,5448.344000000005
154545.0,Other,5448.344000000005
956122.3107947805,Data Scientist,51234.0
2696555.0,Data Scientist,42695.734000000004
956122.3107947805,Data Scientist,108734.0
935508.0,Data Scientist,46734.0
956122.3107947805,Data Scientist,43234.0
52708.0,Data Scientist,129734.0
389347.0,Data Engineer,62234.0
179266.0,Data Engineer,62234.0
8467513.0,Data Scientist,48019.52
956122.3107947805,Data Scientist,46734.0
81516.0,Data Scientist,115234.0
387050.0,Data Engineer,93698.276
2696555.0,Data Engineer,61695.734000000004
711463.0,Data Scientist,62103.814
956122.3107947805,Data Engineer,48734.0
815201.0,Data Analyst,35156.924
300431.0,Data Scientist,88374.35399999999
61929.0,Data Scientist,28734.0
670050.0,Data Engineer,41042.53400000001
2696555.0,Data Scientist,99195.734
308935.0,Data Scientist,64642.216
182113.0,Data Engineer,71601.408
61929.0,Data Scientist,60234.0
116674.0,Data Analyst,22734.0
956122.3107947805,Data Engineer,71984.068
117090.0,Data Engineer,46234.0
956122.3107947805,Other,71234.0
654776.0,Data Scientist,113259.28400000001
64251.0,Data Scientist,130734.0
58622.0,Data Scientist,103734.0
654776.0,Data Scientist,25759.284000000007
79588.0,Data Scientist,68734.0
983489.0,Data Scientist,105108.48999999999
1288457.0,Data Scientist,58307.99
815201.0,Data Scientist,74156.924
956122.3107947805,Data Engineer,68734.0
956122.3107947805,Data Scientist,106734.0
956122.3107947805,Data Analyst,23234.0
956122.3107947805,Data Scientist,3734.0
269196.0,Data Scientist,81925.33
58357.0,Data Scientist,81925.33
117090.0,Data Scientist,23734.0
815201.0,Data Scientist,82156.924
108420.0,Other,49234.0
956122.3107947805,Data Engineer,33234.0
60769.0,Data Analyst,13234.0
1381611.0,Data Scientist,99381.70800000001
62947.0,Data Analyst,39234.0
654776.0,Data Scientist,89259.28400000001
956122.3107947805,Data Scientist,60234.0
815201.0,Data Scientist,156656.924
956122.3107947805,Other,18234.0
654776.0,Data Scientist,110759.28400000001
8467513.0,Data Scientist,98019.51999999999
169724.0,Data Analyst,27517.25
169724.0,Data Analyst,20246.71
169724.0,Data Analyst,27823.377999999997
169724.0,Data Analyst,27517.25
154789.0,Data Analyst,27517.25
154789.0,Data Analyst,20246.71
154789.0,Data Analyst,27823.377999999997
154789.0,Data Analyst,27517.25
113394.0,Data Analyst,27517.25
113394.0,Data Analyst,20246.71
113394.0,Data Analyst,27823.377999999997
113394.0,Data Analyst,27517.25
62256.0,Data Analyst,27517.25
62256.0,Data Analyst,20246.71
62256.0,Data Analyst,27823.377999999997
62256.0,Data Analyst,27517.25
58763.0,Data Analyst,27517.25
58763.0,Data Analyst,20246.71
58763.0,Data Analyst,27823.377999999997
58763.0,Data Analyst,27517.25
300431.0,Data Scientist,84374.35399999999
1624569.0,Other,84588.562
105401.0,Data Scientist,109734.0
216963.0,Data Analyst,24063.142
216963.0,Data Analyst,24101.407999999996
205918.0,Data Scientist,103182.888
87453.0,Data Scientist,53234.0
2696555.0,Data Scientist,94695.734
200478.0,Data Scientist,99976.306
121771.0,Data Engineer,36213.664000000004
121771.0,Data Engineer,36558.058
70835.0,Data Engineer,36213.664000000004
70835.0,Data Engineer,36558.058
210606.0,Data Scientist,47267.182
210606.0,Data Scientist,47535.044
121465.0,Data Scientist,47267.182
121465.0,Data Scientist,47535.044
956122.3107947805,Data Engineer,55234.0
117090.0,Data Scientist,96234.0
815201.0,Data Engineer,112656.924
